Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-08-31 18:09:38,Strongly disagree,It was quite simple to make a decision after reading a well written review,I would read the entire review and if it was overwhelmingly positive or negative I would make my decision,The reviewers overall feedback.,"Nothing, It was very simple to understand the instructions",Somewhat agree,There were some contradictions in some reviews that made it difficult,I looked for words or phrases that overwhelmingly stood out by being descriptive,I look for words that set the tone of the review,"Some words in isolation looked important, but as part of a full sentence held less importance",nothing,I listed the words or phrases from start to end as i read each review,Somewhat agree,I felt it important to use the same standards when judging each review,I feel nothing could be improved and i encountered no issues or errors,35 - 44,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,78957,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-08-31 18:11:56,Agree,sometimes you have to carefully read and see the words the critic used in their review.,By looking for words or themes throughout the review to see if it was positive or negative,Word Choices,I thought the Instructions were clear,Neither agree nor disagree,"Sometimes I felt confident with the selection I made, other times I wasn't",I would already know If the word was considered to be positive or negative,I would say It would have to be the tone it was used when describing the movie,I felt that It wasn't too Important to be added ,The Instructions were clear,"The order in words I considered Important was if the beginning of the review said something positive. If I felt the word or phrases were used in a positive light, then I would include them.",Somewhat agree,I felt they were Important and the reviewer meant it,"Maybe when highlighting words, It could be a little easier to do, had minimal difficulty",18 - 24,Man,,,Black or African American,,,,,,,,Associate's degree,,No,No,Yes,,93815,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,Highlighting words with arrow keys.,,13
2021-08-31 18:12:55,Strongly disagree,I found all of them to be pretty easy...one was a little more ambiguous but I would still be confident it was positive,I used a holistic judgment based on tone and content as much as any individual phrase,"\first and last sentences often gave it away, esp key phrases ""best film I ever saw""",Nothing,Disagree,"sometimes it was hard to remember that the phrase must be transferable to another movie, and thus character descriptions must be passed over","I went through line by line and highlighted as I went,",general tone,usually this was because it was too specific to the movie in question,nothing,I started at the top and worked down,Strongly agree,because that was the instruction,it sometimes took several attempts to highlight a phrase,45 - 54,Man,,,,,,,White or Caucasian,,,,Doctorate degree,,No,No,Yes,,14945,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",,Dragging over words/phrases.,,,15
2021-08-31 18:13:41,Disagree,The tone of the review is usually easy to detect from the words used.,"Read the review, understand the points they are making. Look at whether the words and language used are positive or negative.",All of the review but usually the tone is set in the first few sentances.,Nothing.,Disagree,I selected words that to me indicated whether the review was positive or negative.,Read the review and understand the tone. Re-read and select words which described negative thoughts or feelings about the movie.,Words that were describing it as good or bad.,Some phrases were far too long to be highlighted as this takes away from the importance.,Nothing.,I read from the beginning and selected the words as I saw them in order from start to end.,Neither agree nor disagree,It depends on the review.,Nothing.,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,98983,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-08-31 18:18:49,Disagree,Most of the reviews made it fairly obvious what the writer's opinion of the film was.,"Scanning over it to get a general opinion, then reading in detail to get specific positive/negative points.","The overall opinion of the writer, the language used and comparisons he/she makes with other films.",The instructions were perfectly clear to me.,Disagree,It was easy to select them.,"I selected enough words from a phrase that conveyed the negative/positive point, without including superfluous 'waffle'",If it conveyed negativity or positivity.,Where there was a similar phrase that explained the same details elsewhere and was more concise.,Whether it was better to select longer phrases or try to make them concise.,"By selecting them as I read through the text, and deselecting them if I found a better  example conveying the same information further on.",Agree,"Because the sentiment conveyed would be unambiguous, and not rely on surrounding words/phrases in the review that I had not included in the selection.",I had no problems with it.,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,13353,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-08-31 18:19:52,Somewhat disagree,Most were very obvious that they were positive or negative,some words or sentences were either very positive or very negative,I tried to read the whole review to determine if it was a totally positive or negative review,The instructions were very clear,Somewhat disagree,It was obvious when a phrase was negative or positive,Very negative are very positive words were important considerations for making a decision,Very negative are very positive words were important,I made sure that it was in context with the whole review,It could not have been more clear,Random selection,Somewhat disagree,I wanted to read the whole review to make sure of my decision,Nothing could have been improved,55 - 64,Man,,,,,,,White or Caucasian,,,,Trade/technical/vocational training,,No,Yes,Yes,,41838,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-08-31 18:35:41,Somewhat disagree,"In most cases it was easy, as the reviewer would outright say they either loved or hated the movie. Two or three of the reviews were more ambiguous, though-- especially the Scorsese one-- and I erred on the positive side for them.","As mentioned above, most of the reviewers plainly stated their opinions; when they didn't, I looked for words and phrases that painted the film in a certain light.","I focused on the beginning and end to make the determination, then gathered supporting evidence from the middle as well.","The instructions were fine, but there really should have been a ""neutral"" option, because some reviews were more like summaries and didn't give very strong opinions.",Disagree,"When the reviewers said things like ""worst movie ever,"" they pretty much did the work for me. As I've said, however, there were a few instances of ambiguity, hence my selection of ""Disagree"" rather than ""Strongly disagree.""","I looked for explicitly positive and negative words, as well as short summaries of the authors' opinions.","I would highlight things that supported the selection I had made, such as the author's declaration of love for the movie in a review I marked positive.","There were some instances of positive or negative words that didn't apply to the movie itself, but rather to a certain plot point. ""Good"" things happen in bad movies, and ""bad"" things happen in good movies.","Once again, the instructions were fine, but the binary choices were limiting.","I mostly started from the beginning and highlighted things in order, though I'd occasionally go back to something I'd missed previously.",Disagree,"There are some points of praise or criticism that are unique to specific films, such as a particular actor's performance. I wouldn't expect a review of ""Cabin Fever"" to criticize Chuck Norris's acting, as he wasn't in that movie (to my knowledge).","A few of the reviews were poorly written walls of text with confusing (or no) punctuation. I'm assuming these were swiped from IMDb users and not professional critics, so it's understandable that they'd vary in quality, but you could have at least broken them into paragraphs and fixed the errors that interfered with readability.",25 - 34,Woman,,,,Hispanic or Latine,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,"For future iterations of this study (if applicable), consider adding a neutral option unless you exclusively select reviews with clear opinions.",57559,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-08-31 18:41:31,Disagree,They used good adjectives to explain how they felt about the movie.,I looked at the adjectives and tone of the review.,I focused on the praises/criticisms the reviewers gave.,It was very clear.,Disagree,It was easy to me.,I selected the words that praised/criticized the movie the most.,Words that are clear on how they feel about the movie.,If it was too drawn out.,It was clear to me.,I read the review and picked the strongest words first.,Agree,So they seem clear.,No issues.,18 - 24,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,47872,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,,,11
2021-08-31 18:47:08,Disagree,It is not difficult because of the words they used.,I analyzed the overall feel of the review and what the reviewer was trying to get across noticing any repeated ideas.,I focused on adjectives in their sentences.,none,Disagree,It was not difficult because I focused on words that expressed their opinion.,I looked for words that described how they felt.,If it is an adjective or if they used it with examples of emotion.,If they could mean both positive or negative in some context I did not select them.,none,Any words that imitated how the reviewer felt or opinion that they wanted to depict were selected.,Strongly agree,So that what I selected would have a clear meaning,none,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,89235,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",,Dragging over words/phrases.,,,15
2021-08-31 18:47:17,Disagree,the points of positivity & negativity wer4e clearly laid out about the films reviewed,"it was easy enough to distinguish the differences of both negativity & positivity, I just marked up along the review the 2 points as i went through the reviews",i focused on the positive & negative inputs of what the review was explaing,"nothing really you read it & follow instructions nothing to difficult about that, so for me nothing was unclear",Disagree,to me it was obvious which was negative or positive,it was for me loking at key words & or sentences that hooked together as a whole to make a complete judgement,i guess it was the strength of a word the negativity of it or positivity of it or sentences either way,"im not sure as that happened, |I think i went through it as careful as i could without having to think about that, The words & phrases i picked were the ones i thought were the way to go.","for me nothing really, It seemed straight forward enough for me.",well theirs words or phrases that can be deemed as stronger than others but i didnt order place any particular stronger words in any kind of order of strength,Somewhat agree,"somewhat agreed as no 2 reviews would be exactly the same, Close maybe in certain quarters, so i somewhat agreed as i couldnt be sure they would be the same exactly","nothing for me could have been improved, I nterfaces were clear enough & didnt come across any errors or issues",55 - 64,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,Yes,Yes,,38580,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Classify a movie review as positive or negative.
 Select confidence that you have in your selections.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
",Clicking on individual words.,,,,15
2021-08-31 18:48:48,Strongly disagree,it was easy to see what the main points of the artical and I found it easy to point them out,I look for negitive or positive words and I was able to decide from there if it leans one way or the other,normally near the start or end the reviewer will mention a point that will let me know which way they feel towards the film,it was clear and I don't think things should change,Strongly disagree,it was very easy to see which words I should choose ,I looked to the tone of the review you could tell quickly which way it would go,if there was a tone to the words that lean either,if it wasn't clear one way or another I would choose to pass up on the word to avoid being wrong,it was clear to me the whole way through,I went from the start to the end of the review and highlighted any words I notice fits my view,Neither agree nor disagree,I just went with what I felt was positive or negative but I did not let other reviews dictate my choice,none it was easy,18 - 24,Man,,,Black or African American,,,,,,,,High School or equivalent,,No,No,Yes,,82613,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-08-31 18:50:48,Somewhat agree,some reviews weren't opinionated but more of a summary.,if there is a strong obvious dislike of the movie.,mostly opening with strong opinions and ending with a strong feelings.,none,Somewhat agree,more than one word/ a full sentence is often needed for context.,obviously strong feeling words,words conveying strong feeling,context was important,none,in context of a sentence,Agree,disliking something is a common human experience ,the amount of typing is a little much for a survey rating if a movie review is positive or negative. ,25 - 34,Woman,,,Black or African American,,,,,,,,Bachelor's degree,,No,No,Yes,,57323,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-08-31 18:55:47,Disagree,"it seemed to be very clear from that language used, what the overall tone of each review was meant to be.","I looked for key words and phrases and if there was enough in each particular direction, that was how I determined if a review was positive or negative.",Words and phrases that sounded positive within the review,Nothing it was very clear,Somewhat agree,I was hard to tell what was the opposite of the review,I looked for strong and emotive words that stood out,They were particularly emotive and charged,I did not feel that the extra words added anything to the overall tone,Nothing,I ordered them as I read them throughout the review as a whole,Disagree,I did not think about the other reviews when I was reading each review,Nothing,35 - 44,Woman,,,,,,,White or Caucasian,,,,Doctorate degree,,No,No,Yes,,42048,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
